numWins,teamNumber,nameShort,city,stateProv,country,homeCMP,year,region
1,4819,Flat Mountain Mechanics,Mount Pleasant,Michigan,USA,CMPTX,2022,Midwest
3,4828,RoboEagles,Raleigh,North Carolina,USA,CMPTX,2022,South
2,4829,Titanium Tigers,Chapel Hill,North Carolina,USA,CMPTX,2022,South
2,4835,Junkyard Dawgs,Manistique,Michigan,USA,CMPTX,2022,Midwest
1,4841,Optimal Robotics,Tucson,Arizona,USA,CMPTX,2017,West
1,4855,Ramageddon,South Haven,Michigan,USA,CMPTX,2022,Midwest
1,4901,Garnet Squadron,Columbia,South Carolina,USA,,2016,South
1,4906,The Collective,Waterville,Maine,USA,CMPTX,2022,Northeast
2,4908,Duxbury Dragons,Duxbury,Massachusetts,USA,CMPTX,2022,Northeast
1,4909,Bionics,Billerica,Massachusetts,USA,CMPTX,2022,Northeast
7,4910,East Cobb Robotics,Marietta,Georgia,USA,CMPTX,2022,South
6,4911,CyberKnights,Seattle,Washington,USA,CMPTX,2022,West
3,4915,Spartronics,Bainbridge Island,Washington,USA,CMPTX,2022,West
1,4918,The Roboctopi,Port Townsend,Washington,USA,CMPTX,2022,West
2,4926,GalacTech,Columbus,Indiana,USA,CMPTX,2022,Midwest
2,4930,Electric Mayhem,Buffalo,New York,USA,CMPTX,2022,Northeast
1,4931,Edwardsville Technologies,Edwardsville,Illinois,USA,CMPTX,2022,Midwest
2,4935,T-Rex,Charlotte,North Carolina,USA,CMPTX,2022,South
2,4941,RoboBibb,Macon,Georgia,USA,CMPTX,2022,South
1,4944,The Hi Fives,Grand Junction,Colorado,USA,CMPTX,2022,West
3,4956,RoboSharks,Whitehall,Michigan,USA,CMPTX,2022,Midwest
3,4967,That ONE Team-OurNextEngineers,Belmont,Michigan,USA,CMPTX,2022,Midwest
1,4982,Olympus Robotics,Fort Wayne,Indiana,USA,CMPTX,2022,Midwest
1,4988,Yooper Troopers,Cedarville,Michigan,USA,CMPTX,2022,Midwest
2,4990,Gryphon Robotics,Hillsborough,California,USA,CMPTX,2022,West
1,4994,Kingston Robo-Cards,Kingston,Michigan,USA,CMPTX,2022,Midwest
1,5000,Hammerheads,Hingham,Massachusetts,USA,CMPTX,2022,Northeast
1,5006,Apophis,Fayetteville,Arkansas,USA,CMPTX,2022,South
1,5008,(robo)LIONS,Detroit,Michigan,USA,,2016,Midwest
1,5010,Tiger Dynasty,Fishers,Indiana,USA,CMPTX,2022,Midwest
5,5012,Gryffingear,Palmdale,California,USA,CMPTX,2022,West
1,5013,Trobots,Kansas City,Missouri,USA,CMPTX,2022,Midwest
1,5016,Huntington Robotics,Huntington,New York,USA,CMPTX,2022,Northeast
1,5022,Rat Rod Robotics,Jonesborough,Tennessee,USA,CMPTX,2022,South
2,5026,Iron Panthers,Burlingame,California,USA,CMPTX,2022,West
1,5027,Event Horizon (5027) ,San Jose,California,USA,CMPTX,2022,West
3,5030,The Second Mouse,Utica,New York,USA,CMPTX,2022,Northeast
1,5045,SpartaBot,Memphis,Tennessee,USA,CMPTX,2022,South
1,5047,DV CONQUISTABOTS,El Paso,Texas,USA,CMPTX,2022,South
4,5050,Cow Town Robotics,Carleton,Michigan,USA,CMPTX,2022,Midwest
1,5052,The RoboLobos,Cedar Park,Texas,USA,CMPTX,2022,South
4,5053,Lakers,Waterford,Michigan,USA,CMPTX,2022,Midwest
1,5057,RoboBusters,Dallas,Texas,USA,CMPTX,2022,South
2,5059,The Midnight Cicadas,Globe,Arizona,USA,CMPTX,2022,West
1,5066,Singularity,Saline,Michigan,USA,CMPTX,2022,Midwest
1,5067,Steiner Steel Storm,Ann Arbor,Michigan,USA,CMPTX,2022,Midwest
1,5068,The Outsiders,Detroit,Michigan,USA,,2016,Midwest
2,5069,The Iron Giants,Edwardsburg,Michigan,USA,CMPTX,2022,Midwest
2,5074,RoboMustangs,Norcross,Georgia,USA,CMPTX,2022,South
1,5081,Lumbernators,Bay City,Michigan,USA,,2014,Midwest
2,5084,Team FridgeBot,Corunna,Michigan,USA,CMPTX,2022,Midwest
1,5085,LakerBots,Blachly,Oregon,USA,CMPTX,2022,West
3,5086,Cadillac Connectors,Cadillac,Michigan,USA,CMPTX,2022,Midwest
